Type,Phrase Type,Label,Topic,Parent,Label Explanation,Example Sentence,Example Source,Example Url,English,French,Spanish,Italian,Arabic
Phrase,N,A,Taiwan,,Doublespeak to deny the reality of Taiwan's independence.,"Fosun Pharma has been licensed by BioNTech to exclusively develop and commercialize COVID-19 vaccines based on its mRNA technology platform in the Chinese mainland, Hong Kong Special Administrative Region, Macao Special Administrative Region and Taiwan region.",Xinhua,http://www.xinhuanet.com/english/2021-07/14/c_1310061313.htm,Taiwan region,Région de Taiwan,Región de Taiwán,regione di taiwan,منطقة تايوان
Phrase,N,ND,Taiwan,,Official name at Olympics. Dropping from aligned to non-discriminative for this reason.,,,,Chinese Taipei,Taipei chinois,Taipei chino,Taipei cinese,تايبيه الصينية
Phrase,N,A,Taiwan,,Doublespeak to deny the reality of Taiwan's independence.,"Having been studying and working on the Chinese mainland for almost two decades, Chen Borui from southeast China's Taiwan said he has witnessed the rapid growth of the mainland and benefited from it.",People's Daily,http://en.people.cn/n3/2021/1212/c90000-9931587.html,China's Taiwan,Région de Taiwan (Chine),"Taiwán, China",(regione di) Taiwan della Cina,تايوان الصينية
Phrase,N,A,Taiwan,,Common CCP phrase indicating the need to annex Taiwan and end the reality of its independence.,"Resolving the Taiwan question and realizing China's complete reunification is a historic mission and an unshakable commitment of the Communist Party of China (CPC), Xi Jinping, general secretary of the CPC Central Committee, said on Thursday.",Xinhua,http://www.xinhuanet.com/english/special/2021-07/01/c_1310037420.htm,the Taiwan question,La question taiwanaise,la cuestión taiwanesa,la questione di Taiwan,مسألة تايوان
Phrase,V,A,Taiwan,,"Although the concept of using Taiwan to X, where X is usually ""contain China"" or ""provoke the mainland"" or what have you, this phrase is too common to include in the final analysis.",,,,use Taiwan,Utiliser Taiwan,utilizar a Taiwán,utilizzare Taiwan,استخدام تايوان
Phrase,V,A,Taiwan,,,,,,,,usar a Taiwán,usare Taiwan,
Phrase,N,A,Taiwan,,"A way of refering to Taiwan that reduces its status as an independent state to ""an island.""","A Chinese defense spokesperson said Thursday that actions of the Chinese People's Liberation Army (PLA) in the waters and airspace around the country's island of Taiwan have clear objectives, reaffirming the military's resolve to safeguard national sovereignty and territorial integrity.",China.org.cn,http://www.china.org.cn/china/2021-12/31/content_77962324.htm,island of Taiwan,Ile de Taiwan,isla de Taiwán,isola di Taiwan,جزيرة تايوان
Phrase,N,A,Taiwan,,"The specific conjunction of ""Chinese mainland"" and ""Taiwan"" places Taiwan as a part of ""China."" Compare: ""China and Taiwan.""","A seminar on relations between the Chinese mainland and Taiwan opened on Thursday in south China's Guangxi Zhuang Autonomous Region, discussing paths and choice of the development of cross-Strait ties.",Xinhua,http://www.xinhuanet.com/english/2021-07/30/c_1310095628.htm,Chinese mainland and Taiwan,La Chine continentale et Taiwan,China continental y Taiwán,Cina continentale e Taiwan,البر الصيني الرئيسي وتايوان
Phrase,V,A,Taiwan,,,,,,provocation and threat against the mainland,Provocation et menace contre le continent,provocación y amenaza contra el continente,provocazioni e minacce contro la Cina continentale,الاستفزاز والتهديد ضد البر الصيني الرئيسي
Phrase,V,A,Taiwan,,,,,,,,,provocazioni e minacce contro il continente,
Phrase,V,A,Taiwan,,,,,,attack the mainland,Attaquer le continent,atacar el continente,attaccare la Cina continentale,مهاجمة البر الصيني الرئيسي
Phrase,V,A,Taiwan,,,,,,,,,attaccare il continente,
Phrase,V,A,Taiwan,,,,,,stir confrontation with the mainland,Susciter la confrontation avec le continent,suscitar confrontación con el continente,fomentare lo scontro con la Cina continentale,إثارة المواجهة البر الصيني الرئيسي
Phrase,V,A,Taiwan,,,,,,,,,fomentare lo scontro con il continente,
Phrase,V,A,Taiwan,,,,,,provoke Taiwan independence,Provoquer l'indépendance de Taiwan,provocar la independencia de Taiwán,causare l'indipendenza di Taiwan,استفزاز استقلال تايوان
Phrase,N,A,Taiwan,,Doublespeak to deny the reality of Taiwan's independence.,"In particular, he lashed out at the U.S. military buildup targeting China, which he observed has accelerated since the U.S. ""pivot to Asia"" strategy in 2012, and at its arms sales to Taiwan, China.",Xinhua,http://www.news.cn/english/northamerica/2021-12/21/c_1310386180.htm,"Taiwan, China","Taiwan, Chine","Taiwán, China","Taiwan, Cina",تايوان الصين
Phrase,N,O,Taiwan,,The CCP's policy is not to refer to the Taiwanese government as such as this implies the reality of Taiwan's independence.,,Xinhua,https://web.archive.org/web/20160218073651/http://www.xinhuanet.com.tw/viewthread.php?tid=4981,Taiwan's government,gouvernement taiwanais,gobierno de Taiwán,governo di Taiwan,حكومة تايوان
Phrase,N,A,Taiwan,,"The CCP's policy is not to refer to the Taiwanese government as such as this implies the reality of Taiwan's independence. ""Authorities in Taiwan"" is a common replacement.","Zhao said that, for some time now, the Democratic Progressive Party authorities in Taiwan and the ""Taiwan independence"" separatist forces have been pursuing ""de-sinicization"", trying to create ""one China, one Taiwan"" or ""two Chinas"", and engaging in provocative activities to seek independence in collusion with external forces.",Xinhua,http://www.news.cn/english/2021-11/15/c_1310312641.htm,authorities in Taiwan,autorités de Taiwan,autoridades de Taiwán,autorità a Taiwan,السلطات في تايوان
Phrase,N,ND,Taiwan,,,,,,China Taiwan divide,Séparation Chine-Taïwan,separación China-Taiwán,dividere la Cina e Taiwan,إنقسام الصين وتايوان
Phrase,N,O,Taiwan,,A phrase often used by Taiwan to express the benefits of its democratic way of governance.,"This webpage shares the Taiwan Model for combating the pandemic, as well as links to related international media coverage and video clips.",Taiwan Ministry of Foreign Affairs,https://en.mofa.gov.tw/theme.aspx?n=2294&s=87,the Taiwan model,Le modèle taiwanais,el modelo taiwanés,il modello Taiwan,نموذج تايوان
Phrase,N,A,Taiwan,,Catchphrase used by the CCP claiming that Taiwan is an integral part of the PRC.,"It is a very bad act of provocation by the United States to repeatedly play the ""Taiwan card,"" which challenged China's bottom line and harmed China's national sovereignty and territorial integrity.",China.org.cn,http://www.china.org.cn/opinion/2021-07/16/content_77632507.htm,territorial integrity,intégrité territoriale,integridad territorial,integrità territoriale,وحدة الأراضي;وحدة المنطقة
Phrase,N,A,Taiwan,,Loaded label that assumes Taiwan is a part of the PRC.,"Efforts should be made to prevent what really matters for the EU-China relations from being distracted by political speculation like Lithuania has made unwisely, and stop wrong, dangerous signals to be sent to Taiwan independence separatist forces.",Xinhua,http://www.news.cn/english/2021-12/22/c_1310388106.htm,Taiwan independence separatist forces,Forces séparatistes indépendantes de Taiwan,fuerzas separatistas de la independencia de Taiwán,forze separatiste indipendentiste taiwanesi,القوى الانفصالية لاستقلال تايوان
Phrase,N,A,Taiwan,Taiwan independence separatist forces,,,,,Taiwan independence elements,éléments d'indépendance de Taiwan,elementos de la independencia de Taiwan,elementi indipendentisti taiwanesi,عناصر استقلال تايوان
Phrase,N,A,Taiwan,,PRC nationalistic catchphrase refering to the motivation to annex Taiwan.,"Resolving the Taiwan question and realizing China's complete reunification is a historic mission and an unshakable commitment of the Communist Party of China, and a shared aspiration of all the sons and daughters of the Chinese nation, Zhu said.",Xinhua,http://www.xinhuanet.com/english/2021-07/02/c_1310040237.htm,historic mission,mission historique,misión histórica,missione storica,مهمة تاريخية
Phrase,N,A,Taiwan,,Loaded label that assumes Taiwan is a part of the PRC.,,,,secessionist DPP,PDP sécessioniste,PDP secesionista,secessionisti PPD,الحزب الديمقراطي التقدمي الانفصالي
Phrase,N,A,Taiwan,secessionist DPP,,,,,separatist DPP,PDP séparatiste,PDP separtista,separatisti PPD,الحزب الديمقراطي التقدمي الانشقاقي
Phrase,N,A,Taiwan,secessionist DPP,,,,,secessionist authority,autorité sécessioniste,autoridades secesionistas,autorità secessionista,سلطة انفصالية
Phrase,N,A,Taiwan,secessionist DPP,,,,,separatist authority,autorité séparatiste,autoridades separatistas,autorità separatiste,سلطة انشقاقية
Phrase,N,A,Taiwan,,Loaded label that assumes Taiwan is a part of the PRC.,"Zhu Fenglian, a spokesperson for the Taiwan Affairs Office of the State Council, warned the Democratic Progressive Party (DPP) authority in Taiwan and ""Taiwan independence"" separatist forces not to misjudge the situation and act willfully on the path for ""Taiwan independence,"" which leads to nowhere.",China.org.cn,http://www.china.org.cn/china/2021-07/29/content_77658829.htm,separatist forces,Forces séparatistes,fuerzas separatistas,forze separatiste ,القوى الانشقاقية
Phrase,N,A,Taiwan,separatist forces,,,,,secessionist forces,forces sécessionistes,fuerzas secesionistas,forze secessioniste,القوى الانفصالية
Phrase,N,A,Taiwan,,Loaded label that assumes Taiwan is a part of the PRC.,,,,separatist activity,activité séparatiste,actividad separatista,attività saparatiste,نشاط انفصالي
Phrase,N,A,Taiwan,separatist activity,,,,,secessionist activity,activité sécessioniste,actividad secesionista,attività secessioniste,نشاط انشقاقي
Phrase,N,A,Taiwan,Taiwan separatist,,,,,Taiwan secession,sécession de Taiwan,secesión de Taiwán,secessione di Taiwan,انفصال تايوان
Phrase,N,A,Taiwan,Taiwan separatist,,,,,Taiwan secessionist,sécessioniste taiwanais,secesionismo taiwanés,secessionisti di Taiwan;secessionisti taiwanesi,تايوان الانفصالية
Phrase,N,A,Taiwan,Taiwan separatist,,,,,Taiwan separatism,séparatisme taiwanais,separatismo taiwanés,separatismo di Taiwan,انشقاق تايوان
Phrase,N,A,Taiwan,,Loaded label that assumes Taiwan is a part of the PRC.,Chinese President Xi Jinping on Saturday sent the latest stern warning to Taiwan separatists and their supporters.,Xinhua,http://www.news.cn/english/2021-10/09/c_1310235109.htm,Taiwan separatist,séparatiste taiwanais,separatista taiwanés,separatisti di Taiwan;separatisti taiwanesi,تايوان الانشقاقية
Phrase,N,A,Taiwan,,Loaded label that assumes Taiwan is a part of the PRC.,"China's Anti-Secession Law stipulates the scenarios when the state has to employ non-peaceful means and other necessary measures to protect its sovereignty and territorial integrity, and delineates the legal bottom line and the ""red line"" of China, said Zhu.",China.org.cn,http://www.china.org.cn/china/2021-11/24/content_77891161.htm,anti-secession,Anti-sécession,anti-secesionismo ,anti-secessione,مناهضة الانفصال
Phrase,N,A,Taiwan,anti-secession,Loaded label that assumes Taiwan is a part of the PRC.,,,,anti-separatism,anti-séparatisme,anti-separatismo,anti-separatismo,مناهضة الانشقاق
Phrase,N,R,Taiwan,reunification,"Made (R)edundant by ""reunification"" on its own",,,,national reunification,réunification nationale,reunificación nacional,riunificazione nazionale,التوحيد الوطني
Phrase,N,R,Taiwan,reunification,"Made (R)edundant by ""reunification"" on its own",,,,reunification by force,réunification par la force,reunificación por la fuerza,riunificazione con la forza,التوحيد بالقوة
Phrase,V,A,Taiwan,,,,,,reunify Taiwan,réunifier Taiwan,reunificar Taiwán,riunificare Taiwan,توحيد تايوان
Phrase,N,R,Taiwan,reunification,"Made (R)edundant by ""reunification"" on its own",,,,reunification of Taiwan,réunification de Taiwan,reunificación de Taiwán,riunificazione di Taiwan,إعادة توحيد تايوان
Phrase,N,A,Taiwan,,"Characterizing the annexation of Taiwan as ""re-unification"": ""re"" implies that Taiwan was once a part of the PRC; ""unification"" is a soft gloss on annexation, particularly when ""by force"" is added (which it often is).","Ma Xiaoguang, spokesperson for the Taiwan Affairs Office of the State Council, urged the U.S. government and relevant departments to stop any form of military ties with China's Taiwan region, as well as give up their dangerous attempt at obstructing China's reunification through military support to Taiwan.",China.org.cn,http://www.china.org.cn/china/2021-12/18/content_77938789.htm,reunification,réunification,reunificación,riunificazione,لم الشمل
Phrase,N,A,Taiwan,reunification,,,,,reunify,réuinifier,reunificar,riunificare,إعادة التوحيد
Phrase,N,O,Taiwan,,The CCP policy is not to refer to the Taiwan president as a president as this implies the reality of Taiwan's independence.,,,,President Tsai Ying-wen,Présidente Tsai Ing-wen,Presidenta Tsai Ing-wen,Presidente Tsai Ing-wen,الرئيس تساي (إنغ ون)
Phrase,N,O,Taiwan,,The CCP policy is not to refer to the Taiwan president as a president as this implies the reality of Taiwan's independence.,,,,Taiwan's president,Présidente de Taiwan,Presidenta de Taiwán,Presidente di Taiwan,رئيس تايوان
Phrase,V,O,Taiwan,,,,,,threaten Taiwan with invasion,Menacer Taiwan d'invasion,amenazar con invadir Taiwan,minacciare Taiwan di invasione,تهدد تايوان بالغزو
Phrase,V,O,Taiwan,,,,,,invade Taiwan,envahir Taiwan,invadir Taiwan,invadere Taiwan,غزو ​​تايوان
Phrase,N,O,Taiwan,,"The CCP policy is not to use the term ""Taiwanese"" as it implies the reality of Taiwan's independence. However, in practice, we do see terms like ""young Taiwanese"" and ""Taiwanese company"" in the PRC state media occasionally.","Lithuanian President Gitanas Nauseda on Tuesday acknowledged as a mistake the country's decision to allow the opening of a ""representative office"" in Vilnius under the name of ""Taiwanese"" instead of ""Taipei.""",Xinhua,https://english.news.cn/20220106/2330ed115ff745deb1d3d464f0520073/c.html,Taiwanese,Taiwanais,taiwanés ,Taiwanese,تايواني
Phrase,N,A,COVID Origins,,,,,,USA virus,virus américain,virus americano,virus americano,فيروس الولايات المتحدة الأمريكية
Phrase,V,A,COVID Origins,,,,,,hype lab leak theory,théorie de la fuite du laboratoire hype,teoría exagerada de fuga de laboratorio,"teoria della ""fuga dal laboratorio""",تضخيم نظرية تسرب المختبر
Phrase,V,A,COVID Origins,,,,,,investigate Fort Detrick,enquête sur Fort Detrick,investigar a Fort Detrick,indagare sul Fort Detrick,التحقيق في فورت ديتريك
Phrase,N,A,COVID Origins,,,,,,smoke screen tactics,tactiques d'écran de fumée,tácticas de cortina de humo,tecnica della cortina fumogena,تكتيكات شاشة الدخان
Phrase,V,O,COVID Origins,,,,,,"China lied, people died","La Chine a menti, des gens sont morts","China mintió, la gente murió","la Cina mente, la gente muore",الصين كذبت ، مات الناس
Phrase,N,O,COVID Origins,,,,,,Wuhan virus,Le virus de Wuhan,virus de Wuhan,virus di Wuhan,فيروس ووهان
Phrase,N,O,COVID Origins,,,,,,China virus,le virus chinois,virus chino,virus cinese,فيروس الصين
Phrase,N,A,COVID Origins,,,,,,political virus,virus politique,virus político,virus politico,الفيروس السياسي
Phrase,V,A,COVID Origins,,,,,,political manipulation of the disease,manipulation politique de la maladie,manipulación política de la enfermedad,manipolazione politica della malattia,التلاعب السياسي بالمرض
Phrase,V,A,COVID Origins,,,,,,scapegoating China,La Chine comme bouc émissaire,China como cabeza de turco,incolpare la Cina,الصين كبش فداء
Phrase,N,A,COVID Origins,,,,,,anti-pandemic cooperation,coopération anti-pandémie,cooperación anti-pandémica,cooperazione anti pandemia,التعاون لمكافحة الوباء
Phrase,N,A,COVID Origins,,,,,,,,,,التعاون ضد الوباء
Phrase,V,A,COVID Origins,,,,,,politicization of origins tracing,la politisation de la recherche des origines,politización del rastreo del origen,politicizzazione della ricerca dell'origine,تسييس تتبع الأصول
Phrase,N,A,COVID Origins,,,,,,virus origin tracing terrorism,terrorisme de traçage de l'origine des virus,terrorismo de rastrear el virus,terrorismo della ricerca sull'origine del virus,ارهاب تتبع اصول الفيروس
Phrase,N,A,COVID Origins,,,,,,Disunited America,Amérique désunie,desunir a América,America disunita,أمريكا المفككة
Phrase,V,A,COVID Origins,,,,,,China bought precious time,La Chine a gagné un temps précieux,China ganó un tiempo precioso,la Cina ha guadagnato tempo prezioso,اشترت الصين وقتا ثمينا
Phrase,V,A,General,,,,,,smear China,Diffamer la Chine,difamar a China,diffamare la Cina,تشويه الصين
Phrase,V,A,General,,,,,,undermine China,affaiblir la Chine,socavar a China,indebolire la Cina,تقويض الصين
Phrase,V,A,General,,,,,,interfere in China,s'immiscer dans les affaires chinoises,interferir en los asuntos de China,interferire negli affari interni della Cina,تتدخل في الصين
Phrase,N,A,General,,Catchphrase meant to chastize other countries banding together to resist the expansion and projection of CCP power.,"Stressing the fact that U.S. President Joe Biden's recent remarks of not seeking a ""new Cold War"" had drawn attention from all sides, Wang said the key is to make this statement into substantial actions, such as giving up the Cold War mentality, ideological bias and a tendency for bloc confrontation.",Xinhua,http://www.news.cn/english/2021-09/23/c_1310205312.htm,Cold War mentality,mentalité de guerre froide,mentalidad de Guerra Fría,mentalità da Guerra Fredda,عقلية الحرب الباردة
Phrase,V,A,General,,,,,,impede China,Entraver la Chine,impedir a China,ostacolare la Cina,تعيق الصين
Phrase,N,A,General,,"Thought-terminating characterization of anything deemed contrary to the CCP's interests, deployed in numerous contexts.","The escalating, bipartisan anti-China rhetoric in both Congress and the White House not only damages the diplomatic and political relationships needed to move forward, but also bolsters racist, right-wing movements in the United States, fuels violence against people of East and Southeast Asian descent, said the letter.",China.org.cn,http://www.china.org.cn/world/2021-07/09/content_77615739.htm,anti-China,anti-Chine,anti-China,anti-Cina,ضد الصين
Phrase,N,A,General,,CCP catchphrase for PRC's various territorial claims.,"There is only one China in the world, and Taiwan is an inalienable part of China.",Xinhua,http://www.news.cn/english/2021-09/29/c_1310217791.htm,inalienable part of China,partie inaliénable de la Chine,parte inalienable de China,parte inalienabile della Cina,جزء لا يتجزأ من الصين
Phrase,V,A,General,,,,,,justice naturally inhabits man's heart,la justice habite naturellement le cœur de l'homme,la justicia habita naturalmente en el corazón de la gente,la giustizia risiede per natura nel cuore umano,يسكن العدل قلب الإنسان بشكل طبيعي
Phrase,V,A,General,,,,,,justice resides in people's hearts,la justice réside dans le cœur des gens,la justicia reside en el corazón de la gente,la giustizia risiede nel cuore delle persone,يسكن العدل في قلوب الناس
Phrase,N,A,General,,CCP catchphrase intended to highlight PRC cooperation.,"China and Mongolia are friendly neighbors linked by mountains and rivers, and their building of a community with a shared future has been constantly deepened, Wei said during a meeting with Saikhanbayar.",China.org.cn,http://www.china.org.cn/world/2021-07/27/content_77653598.htm,community with a shared future,communauté de destin partagé,comunidad de futuro compartido,comunità dal futuro condiviso,مجتمع بمستقبل مشترك
Phrase,N,A,General,,Characterizing the state of affairs in the world as serving US interests serves the CCP's aim to characterize the world order as unfair and in need of change.,"Hammering China with expansive sanctions has resulted in diminishing returns and can only undermine U.S. hegemony, said a Canada-based geo-strategist.",Xinhua,http://www.xinhuanet.com/english/asiapacific/2021-07/10/c_1310054039.htm,U.S. hegemony,hégémonie américaine,hegemonía americana,egemonia degli USA,الهيمنة الأمريكية
Phrase,N,A,General,U.S. hegemony,,,,,hypocrisy of America,Hypocrisie de l'Amérique,hipocresía de América,ipocrisia dell'America,نفاق أمريكا
Phrase,N,A,General,U.S. hegemony,,"These days, as the chaotic geopolitical landscape continues to come undone, creating greater and greater anxiety amongst the citizens of the world, I find myself waking up each day glad to know that the U.S.-led Western hegemony is falling apart at the seams while China is steadily rising up as the new largest, safe, stable, successful and capable country on the planet.",China.org.cn,http://www.china.org.cn/opinion/2021-11/11/content_77866000.htm,Western hegemony,hégémonie occidentale,hegemonía occidental,egemonia occidentale,الهيمنة الغربية
Phrase,N,A,General,,Catchphrase meant to chastize other countries banding together to resist the expansion and projection of CCP power.,"The three countries draw lines with ideology and create new military blocs, and will exacerbate geographical tensions, said Wang, adding that, at a time when the international community generally opposed the Cold War and division, the United States flagrantly violated its policy of not engaging in a new Cold War, organized an Anglo-Saxon ""small circle"" and placed its geopolitical interests above international solidarity -- a typical Cold War mentality.",Xinhua,https://english.news.cn/20211015/C99FC98509700001F4F31BB410077800/c.html,new Cold War,nouvelle guerre froide,nueva Guerra Fría,nuova Guerra Fredda,الحرب الباردة الجديدة
Phrase,N,A,General,,Characterizing human rights concerns as a pretext for something else is intended to distract from the PRC's human rights violations.,"Zhang said that these anti-China forces made wanton accusations against China and, applied double standards on Xinjiang-related issues under the pretext of human rights to undermine the local industries and make trouble for China's development.",China.org.cn,http://www.china.org.cn/world/2021-09/30/content_77784856.htm,under the pretext of human rights,sous le prétexte des droits de l'homme,pretexto/excusa de los derechos humanos,con il pretesto dei diritti umani,بحجة حقوق الإنسان
Phrase,N,A,General,,Used as a whataboutism device to distract from the CCP's abuses of human rights and civil liberties.,"Inviting such a despicable figure [Nathan Law] to the meeting has once again exposed U.S. hypocrisy in using ""democracy"" to serve its self-interest and collude with anti-China forces in Hong Kong, as well as its intention of undermining Hong Kong's prosperity and stability and interfering in China's internal affairs.",Xinhua,http://www.news.cn/english/2021-12/12/c_1310367630.htm,U.S. hypocrisy,hypocrisie américaine,hipocresía americana,ipocrisia statunitense,نفاق أمريكي
Phrase,V,A,General,,,,,,use human rights,utiliser les droits de l'homme,usar los derechos humanos,usare i diritti umani,استخدام حقوق الإنسان
Phrase,V,A,General,,,,,,stop China's development,arrêter le développement de la Chine,frenar el desarrollo de China,bloccare lo sviluppo della Cina,وقف تنمية الصين
Phrase,V,A,General,,,,,,,,,ostacolare lo sviluppo della Cina,
Phrase,V,A,General,,,,,,divide China,diviser la Chine,dividir a China,dividere la Cina,تقسيم الصين
Phrase,N,A,General,,"The PRC is not a democracy, however the CCP is sensitive about the moral force of democracy, and makes efforts to present their system of governance as a special kind of democracy that is totally unrecognizable from any normal definition of the concept.","Noting China's success in lifting hundreds of millions of people out of poverty, a remarkable achievement that attracts global attention, Charles Tang, chairman of the Brazil-China Chamber of Commerce and Industry, said China's democratic system has provided a fundamental guarantee for the development endeavour of the people.",Xinhua,http://www.news.cn/english/2021-12/14/c_1310372399.htm,China's democratic system,le système démocratique chinois,sistema democrático chino,sistema democratico della Cina,النظام الديمقراطي في الصين
Phrase,V,A,General,,,,,,suppress China,supprimer la Chine,supresión de China,reprimere la Cina,قمع الصين
Phrase,N,A,General,,"Part of CCP ideology, attempting to claim a consistent thread between thousands of years of history in the China area and current CCP rule and sovereignty.",,,,civilization-state,Etat-civilisation,Estado-civilización,stato-civiltà,دولة الحضارة
Phrase,N,A,General,,"CCP catchphrase roughly equivalent to the thought-terminating ""anti-China.""",,,,chariot against China,char contre la Chine,,il carro contro la Cina,عربة ضد الصين
Phrase,N,A,General,,Catchphrase attempting to dismiss criticism of the CCP's legal and human rights violations both internally and internationally as nobody's business.,"Stressing that China's positions on issues relating to Hong Kong, Xinjiang and Taiwan, as well as maritime issues, are consistent and clear, Wang said the Chinese side firmly opposes the G7's attempt to interfere in China's domestic affairs, smear its image and harm its interests.",Xinhua,https://english.news.cn/20211015/C9A3F7AEB4200001776015FA2CFF1DCE/c.html,China's domestic affairs,les affaires intérieures chinoises,aasuntos interenos de China,affari interni della Cina,الشؤون الداخلية للصين
Phrase,N,A,General,China's domestic affairs,,,,,China's internal affairs,les affaires internes chinoises,asuntos internos de China,affari interni della Cina,الشؤون الداخلية الصينية
Phrase,N,A,General,China's domestic affairs,,,,,external interference,Ingérence étrangère,interferencia externa,interferenze esterne,تدخل خارجي
Phrase,N,A,General,inalienable part of China,,,,,a part of china,Une partie de la Chine,una parte de China,una parte della Cina,جزء من الصين
Phrase,N,A,General,,,"The Office of the Commissioner of the Chinese Foreign Ministry in the Hong Kong Special Administrative Region (HKSAR) said Friday that a fact sheet on U.S. interference in Hong Kong affairs released by the Chinese Foreign Ministry is a strong response to the U.S. bullying acts such as the so-called ""Hong Kong Business Advisory"" and its sanctions on officials of the central government in the HKSAR.",Xinhua,http://www.news.cn/english/2021-09/24/c_1310207505.htm,U.S. interference,ingérence américaine,interferencia de Estados Unidos,ingerenze degli USA,تدخل الولايات المتحدة
Phrase,N,O,General,,According to the CCP there is no repression in the PRC.,"Her allegation came just three months before Beijing hosts the Winter Olympics, which have been the target of a boycott campaign from multiple human rights organizations largely over China's repression of Uyghur Muslims.",The Independent,https://www.independent.co.uk/news/china-twitter-women-s-tennis-association-weibo-taiwan-b1960048.html,China's repression,Répression de la Chine,represión de China,la repressione della Cina,قمع الصين
Phrase,N,O,General,China's repression,,,,,Chinese repression,répression chinoise,represión china,repressione cinese,القمع الصيني
Phrase,N,O,General,China's repression,,,,,Chinese human rights abuses,Violations des droits de l'homme en Chine,violación de los derechos humanos en China,violazione dei diritti umani in Cina,انتهاكات حقوق الإنسان الصينية
Phrase,N,O,General,,Unflattering description of CCP governance.,"The Communist Chinese regime chose Zhao Jiawen and Dinigeer Yilamujiang, an Uyghur athlete, to light the Olympic flame at the Winter Games Opening Ceremony in a blatant propaganda attempt to deflect claims it is guilty of genocide of the Muslim minority.",Daily Mail,https://www.dailymail.co.uk/news/article-10477963/Savannah-Guthrie-criticized-falling-Chinese-propaganda-talking-Olympic-flame-lighting.html,Chinese regime,régime chinois,régimen chino,regime cinese,النظام الصيني
Phrase,N,O,General,,Unflattering description of CCP governance.,"President Xi Jinping, who has recently anointed himself on a par with Mao Tsetung, is another crazed Chinese dictator in the 21st century.",The Independent,https://www.independent.co.uk/voices/chinese-communist-party-xi-jinping-uyghur-b1973573.html,Chinese dictator,dictateur chinois,dictador chino,dittatori cinesi,دكتاتور صيني
Phrase,N,O,General,,"In languages other than Mandarin, CCP propaganda is at pains to downplay its expansionist goals.","Contrary to his talk of “win-win” schemes, through his Belt and Road Initiative (BRI) projects in countries around the world Xi Jinping is plainly pursuing his expansionist global ambition.",The Independent,https://www.independent.co.uk/voices/chinese-communist-party-xi-jinping-uyghur-b1973573.html,expansionist global ambition,une ambition mondiale expansionniste,ambición expansionista global,ambizioni espansionistiche globali,طموحات توسعية عالمية
Phrase,V,A,General,,,,,,to split China,Diviser la Chine,dividir China,dividere la Cina,لتقسيم الصين
Phrase,V,A,General,,,,,,condemn the U.S.,condamner les Etats-Unis,condena a Estados Unidos,condannare gli Stati Uniti,شجب الولايات المتحدة
Phrase,V,A,Hong Kong,,,,,,interference in china,ingérence en Chine,interferencia en china,ingerenze in Cina,تدخل في الصين
Phrase,V,A,Hong Kong,,,,,,interfering in china,ingérence en chine,injerencia en china,interferire in Cina,التدخل في الصين
Phrase,N,O,General,Tiananmen massacre,,,,,Tiananmen victims,victimes de Tian'anmen,víctimas de Tiananmen,vittime di Tiananmen,ضحايا تيانانمن
Phrase,N,O,General,,The CCP has tried to whitewash this episode on their history and denies its existence.,"The Tiananmen massacre, in which hundreds and possibly thousands were killed, was a pivotal moment at which a divided Communist Party leadership decided to suppress the democracy movement rather than allow it to grow.",The Independent,https://www.independent.co.uk/asia/china/hong-kong-university-tiananmen-memorial-b1981394.html,Tiananmen massacre,massacre de Tian'anmen,masacre de Tiananmen,massacro di Tiananmen,مذبحة تيانانمن
Phrase,N,O,General,Tiananmen massacre,,,,,Tiananmen Square vigil,Vigile de la place Tiananmen,vigilia en la Plaza de Tiananmen,vigilia di piazza Tiananmen,وقفة احتجاجية في ساحة تيانانمن
Phrase,V,A,General,,,,,,oppose the U.S.,s'opposer aux États-Unis.,oponerse a Estados Unidos,opporsi agli Stati Uniti,عارض الولايات المتحدة
Phrase,N,O,General,Tiananmen massacre,,,,,Tiananmen Square massacre,massacre de la place Tian'anmen,masacre de la plaza de Tiananmen,massacro di piazza Tiananmen,مذبحة ساحة تيانانمن
Phrase,N,O,General,Tiananmen massacre,,,,,Tiananmen crackdown,répression de Tian'anmen,represión de Tiananmen,repressione di Tiananmen,قمع تيانانمن
Phrase,V,A,Xinjiang,,,,,,fighting terrorism,combattre le terrorisme,lucha contra el terrorismo,combattere il terrorismo,محاربة الإرهاب
Phrase,N,A,Xinjiang,,"CCP's prefered framing of their Xinjiang policies, distracting from human rights violations.","""The Chinese government has upheld a people-centered approach to human rights protection and chosen to counter terrorism by rebuilding the society in a peaceful way,"" said Anayat, ""including educating the people and giving them jobs.""",China.org.cn,http://www.china.org.cn/china/2021-09/30/content_77795169.htm,counter terrorism,contre-terrorisme,contraterrorismo,contrastare il terrorismo,مكافحة الإرهاب
Phrase,N,A,Xinjiang,counter terrorism,,,,,anti-terrorism,anti-terrorisme,antiterrorismo,anti terrorismo,ضد الإرهاب
Phrase,N,A,Xinjiang,,"CCP's prefered framing of their Xinjiang policies, distracting from human rights violations.",,,,Xinjiang violence,Violence au Xinjiang,violencia en Xinjiang,violenza in Xinjiang;violenza nello Xinjiang,عنف شينجيانغ
Phrase,V,A,Xinjiang,,,,,,Xinjiang is a good place,Le Xinjiang est un bon endroit,Xinjiang es un buen lugar,il Xinjiang è un bel posto,شينجيانغ مكان جيد
